"age","job","marital","education","loan","contact","month","day_of_week","campaign","subscribed_deposit"
40,"blue-collar","married","unknown","yes","telephone","may","mon",1,"yes"
36,"blue-collar","married","basic.9y","yes","telephone","may","mon",1,"yes"
51,"blue-collar","married","unknown","no","telephone","may","mon",1,"no"
51,"blue-collar","married","unknown","no","telephone","may","mon",1,"no"
43,"technician","single","professional.course","no","telephone","may","mon",2,"no"
59,"services","married","high.school","no","telephone","may","mon",2,"no"
24,"management","single","university.degree","no","telephone","may","mon",2,"no"
37,"blue-collar","single","basic.9y","yes","telephone","may","mon",2,"no"
40,"blue-collar","married","basic.9y","no","telephone","may","mon",1,"yes"
42,"blue-collar","married","basic.9y","no","telephone","may","mon",3,"yes"
39,"services","divorced","high.school","no","telephone","may","mon",1,"no"
37,"entrepreneur","married","basic.6y","no","telephone","may","mon",1,"yes"
38,"services","married","high.school","yes","telephone","may","mon",1,"yes"
56,"admin.","divorced","unknown","no","telephone","may","mon",2,"no"
40,"blue-collar","married","unknown","no","telephone","may","mon",2,"yes"
54,"management","divorced","university.degree","no","telephone","may","mon",2,"no"
43,"blue-collar","married","high.school","yes","telephone","may","mon",1,"yes"
36,"services","married","high.school","no","telephone","may","mon",1,"yes"
45,"technician","married","university.degree","yes","telephone","may","mon",1,"yes"
42,"admin.","single","university.degree","no","telephone","may","mon",1,"no"
43,"services","married","high.school","no","telephone","may","mon",3,"yes"
46,"management","married","basic.9y","no","telephone","may","mon",2,"yes"
44,"services","married","high.school","yes","telephone","may","mon",1,"yes"
51,"admin.","single","basic.6y","no","telephone","may","mon",2,"no"
28,"services","married","high.school","no","telephone","may","mon",1,"yes"
37,"blue-collar","married","basic.9y","no","telephone","may","mon",1,"yes"
34,"technician","married","high.school","no","telephone","may","mon",1,"yes"
46,"blue-collar","married","basic.6y","no","telephone","may","mon",1,"yes"
42,"blue-collar","married","basic.9y","yes","telephone","may","mon",2,"yes"
36,"admin.","married","university.degree","no","telephone","may","mon",3,"yes"
54,"blue-collar","married","basic.4y","no","telephone","may","mon",1,"no"
57,"management","married","university.degree","no","telephone","may","mon",1,"no"
51,"technician","married","basic.6y","no","telephone","may","mon",1,"no"
54,"retired","married","high.school","no","telephone","may","mon",1,"no"
49,"blue-collar","married","basic.4y","no","telephone","may","mon",1,"yes"
34,"admin.","married","university.degree","no","telephone","may","mon",1,"yes"
41,"technician","married","professional.course","no","telephone","may","mon",1,"yes"
38,"blue-collar","single","basic.9y","no","telephone","may","mon",2,"no"
45,"management","divorced","university.degree","no","telephone","may","mon",2,"no"
42,"technician","married","university.degree","no","telephone","may","mon",2,"yes"
34,"blue-collar","single","basic.9y","no","telephone","may","mon",1,"no"
48,"blue-collar","married","basic.4y","no","telephone","may","mon",1,"yes"
37,"admin.","married","high.school","no","telephone","may","mon",1,"yes"
34,"blue-collar","single","basic.9y","no","telephone","may","mon",1,"no"
40,"admin.","married","basic.9y","no","telephone","may","mon",2,"yes"
43,"blue-collar","married","basic.6y","no","telephone","may","mon",1,"yes"
33,"services","married","high.school","no","telephone","may","mon",2,"yes"
32,"services","single","basic.6y","no","telephone","may","mon",1,"no"
39,"blue-collar","married","high.school","no","telephone","may","mon",2,"yes"
43,"admin.","married","unknown","no","telephone","may","mon",1,"yes"
44,"blue-collar","married","basic.9y","no","telephone","may","mon",1,"yes"
35,"student","single","university.degree","no","telephone","may","mon",1,"no"
35,"student","single","university.degree","yes","telephone","may","mon",1,"no"
35,"unemployed","married","professional.course","no","telephone","may","mon",1,"yes"
36,"services","single","basic.4y","no","telephone","may","mon",1,"no"
35,"student","single","university.degree","no","telephone","may","mon",1,"no"
36,"student","single","basic.9y","no","telephone","may","mon",1,"no"
55,"housemaid","divorced","university.degree","no","telephone","may","mon",1,"no"
59,"admin.","married","university.degree","no","telephone","may","mon",1,"no"
57,"retired","married","unknown","no","telephone","may","mon",2,"no"
39,"blue-collar","married","professional.course","no","telephone","may","mon",1,"yes"
39,"housemaid","married","basic.4y","no","telephone","may","mon",2,"yes"
30,"blue-collar","single","unknown","no","telephone","may","mon",1,"no"
30,"blue-collar","single","unknown","yes","telephone","may","mon",1,"no"
50,"housemaid","married","basic.4y","no","telephone","may","mon",1,"no"
40,"services","married","high.school","no","telephone","may","mon",3,"yes"
35,"admin.","married","high.school","no","telephone","may","mon",2,"yes"
43,"technician","married","unknown","no","telephone","may","mon",2,"yes"
36,"services","single","basic.6y","no","telephone","may","mon",1,"no"
46,"technician","married","basic.4y","no","telephone","may","mon",1,"yes"
40,"technician","married","basic.9y","no","telephone","may","mon",1,"yes"
58,"retired","married","university.degree","no","telephone","may","mon",1,"no"
42,"technician","married","university.degree","no","telephone","may","mon",2,"yes"
35,"admin.","single","university.degree","no","telephone","may","mon",2,"no"
43,"retired","married","basic.4y","no","telephone","may","mon",3,"yes"
45,"blue-collar","married","basic.4y","yes","telephone","may","mon",1,"yes"
39,"admin.","married","professional.course","no","telephone","may","mon",2,"yes"
50,"services","divorced","professional.course","no","telephone","may","mon",1,"no"
32,"management","divorced","basic.4y","no","telephone","may","mon",2,"no"
39,"admin.","married","high.school","no","telephone","may","mon",1,"yes"
52,"self-employed","married","university.degree","no","telephone","may","mon",1,"no"
44,"admin.","married","professional.course","no","telephone","may","mon",1,"yes"
56,"blue-collar","married","basic.4y","no","telephone","may","mon",1,"no"
48,"admin.","married","high.school","no","telephone","may","mon",2,"yes"
33,"services","married","high.school","yes","telephone","may","mon",2,"yes"
43,"management","married","university.degree","yes","telephone","may","mon",3,"yes"
57,"retired","married","high.school","no","telephone","may","mon",2,"no"
36,"technician","single","professional.course","no","telephone","may","mon",1,"no"
34,"management","married","university.degree","no","telephone","may","mon",1,"yes"
34,"services","single","basic.9y","no","telephone","may","mon",2,"no"
30,"technician","married","university.degree","no","telephone","may","mon",1,"yes"
33,"services","divorced","unknown","no","telephone","may","mon",2,"no"
32,"technician","single","professional.course","no","telephone","may","mon",1,"no"
36,"technician","single","high.school","no","telephone","may","mon",2,"no"
36,"blue-collar","single","high.school","yes","telephone","may","mon",1,"no"
33,"services","single","high.school","no","telephone","may","mon",1,"no"
40,"technician","divorced","professional.course","no","telephone","may","mon",1,"no"
41,"blue-collar","married","basic.4y","no","telephone","may","mon",1,"yes"
51,"services","married","basic.6y","no","telephone","may","mon",1,"no"
36,"technician","married","professional.course","no","telephone","may","mon",3,"yes"
28,"services","married","unknown","no","telephone","may","mon",2,"yes"
53,"services","married","high.school","yes","telephone","may","mon",3,"no"
58,"blue-collar","married","basic.9y","no","telephone","may","mon",2,"no"
45,"management","married","basic.9y","yes","telephone","may","mon",1,"yes"
43,"technician","married","unknown","no","telephone","may","mon",1,"yes"
33,"admin.","married","high.school","yes","telephone","may","mon",1,"yes"
33,"admin.","married","high.school","yes","telephone","may","mon",1,"yes"
27,"blue-collar","single","basic.6y","unknown","telephone","may","mon",1,"no"
42,"technician","married","high.school","no","telephone","may","mon",1,"yes"
43,"admin.","divorced","basic.9y","no","telephone","may","mon",3,"no"
42,"admin.","married","university.degree","no","telephone","may","mon",2,"yes"
27,"blue-collar","single","basic.6y","no","telephone","may","mon",1,"no"
34,"self-employed","single","university.degree","no","telephone","may","mon",2,"no"
31,"student","single","university.degree","no","telephone","may","mon",2,"no"
54,"management","divorced","university.degree","no","telephone","may","mon",2,"no"
40,"self-employed","married","basic.4y","no","telephone","may","mon",3,"yes"
52,"unemployed","married","high.school","no","telephone","may","mon",1,"no"
47,"management","divorced","university.degree","no","telephone","may","mon",2,"no"
49,"housemaid","married","basic.9y","no","telephone","may","mon",1,"yes"
32,"admin.","single","high.school","no","telephone","may","mon",2,"no"
49,"housemaid","single","high.school","yes","telephone","may","mon",2,"no"
50,"blue-collar","married","basic.9y","no","telephone","may","mon",1,"no"
34,"services","married","high.school","no","telephone","may","mon",1,"yes"
55,"blue-collar","married","basic.4y","no","telephone","may","mon",2,"no"
47,"technician","single","basic.9y","no","telephone","may","mon",4,"no"
51,"retired","married","professional.course","no","telephone","may","mon",3,"no"
47,"blue-collar","married","basic.6y","no","telephone","may","mon",2,"yes"
56,"technician","married","basic.4y","no","telephone","may","mon",3,"no"
53,"admin.","married","basic.9y","no","telephone","may","mon",3,"no"
36,"blue-collar","married","basic.9y","no","telephone","may","mon",2,"yes"
42,"blue-collar","divorced","basic.9y","no","telephone","may","mon",2,"no"
44,"blue-collar","divorced","basic.6y","no","telephone","may","mon",2,"no"
39,"housemaid","married","basic.9y","no","telephone","may","mon",3,"yes"
37,"admin.","single","high.school","yes","telephone","may","mon",2,"no"
60,"blue-collar","married","unknown","no","telephone","may","mon",2,"no"
36,"services","married","high.school","no","telephone","may","mon",2,"yes"
42,"management","divorced","university.degree","no","telephone","may","mon",2,"no"
31,"admin.","married","high.school","yes","telephone","may","mon",2,"yes"
53,"technician","divorced","professional.course","yes","telephone","may","mon",2,"no"
45,"blue-collar","married","basic.4y","no","telephone","may","mon",2,"yes"
37,"technician","single","professional.course","no","telephone","may","mon",2,"no"
47,"self-employed","married","professional.course","no","telephone","may","mon",2,"yes"
49,"blue-collar","divorced","high.school","yes","telephone","may","mon",2,"no"
36,"admin.","married","university.degree","no","telephone","may","mon",2,"yes"
35,"services","divorced","high.school","no","telephone","may","mon",3,"no"
38,"unknown","married","unknown","no","telephone","may","mon",4,"yes"
38,"services","single","high.school","no","telephone","may","mon",2,"no"
50,"blue-collar","divorced","high.school","yes","telephone","may","mon",2,"no"
59,"retired","married","professional.course","no","telephone","may","mon",2,"no"
43,"unknown","married","unknown","no","telephone","may","mon",2,"yes"
42,"admin.","married","high.school","no","telephone","may","mon",2,"yes"
40,"admin.","married","basic.6y","no","telephone","may","mon",2,"yes"
46,"blue-collar","married","unknown","no","telephone","may","mon",2,"yes"
57,"housemaid","divorced","basic.4y","yes","telephone","may","mon",2,"no"
42,"admin.","married","university.degree","no","telephone","may","mon",3,"yes"
41,"blue-collar","married","basic.4y","no","telephone","may","mon",2,"yes"
54,"management","divorced","university.degree","no","telephone","may","mon",3,"no"
27,"admin.","single","university.degree","no","telephone","may","mon",2,"no"
36,"admin.","married","high.school","no","telephone","may","mon",2,"yes"
58,"blue-collar","married","professional.course","no","telephone","may","mon",2,"no"
40,"management","married","university.degree","no","telephone","may","mon",2,"yes"
34,"admin.","single","basic.9y","no","telephone","may","mon",2,"no"
33,"admin.","divorced","high.school","no","telephone","may","mon",2,"no"
56,"retired","married","basic.6y","no","telephone","may","mon",2,"no"
42,"blue-collar","married","basic.9y","no","telephone","may","mon",2,"yes"
43,"services","married","high.school","no","telephone","may","mon",2,"yes"
54,"management","single","basic.9y","no","telephone","may","mon",3,"no"
53,"admin.","single","basic.6y","yes","telephone","may","mon",2,"no"
42,"technician","single","unknown","no","telephone","may","mon",2,"no"
40,"services","married","basic.6y","no","telephone","may","mon",3,"yes"
54,"technician","married","professional.course","yes","telephone","may","mon",2,"no"
40,"housemaid","single","professional.course","no","telephone","may","mon",4,"no"
26,"admin.","single","university.degree","no","telephone","may","mon",3,"no"
33,"admin.","married","high.school","no","telephone","may","mon",3,"yes"
35,"blue-collar","married","basic.9y","no","telephone","may","mon",2,"yes"
36,"admin.","married","high.school","no","telephone","may","mon",3,"yes"
29,"services","single","high.school","no","telephone","may","mon",2,"no"
36,"blue-collar","married","basic.9y","no","telephone","may","mon",2,"yes"
35,"management","married","high.school","no","telephone","may","mon",5,"yes"
50,"self-employed","single","university.degree","yes","telephone","may","mon",5,"no"
46,"services","married","high.school","no","telephone","may","mon",3,"yes"
49,"entrepreneur","married","high.school","no","telephone","may","mon",4,"yes"
42,"technician","single","professional.course","no","telephone","may","mon",2,"no"
36,"blue-collar","single","high.school","yes","telephone","may","mon",3,"no"
55,"blue-collar","married","basic.9y","no","telephone","may","mon",2,"no"
41,"management","married","university.degree","no","telephone","may","mon",2,"yes"
57,"management","married","professional.course","no","telephone","may","mon",3,"no"
32,"services","single","high.school","no","telephone","may","mon",3,"no"
49,"admin.","married","basic.9y","no","telephone","may","mon",3,"yes"
57,"unknown","married","unknown","no","telephone","may","mon",2,"no"
58,"blue-collar","divorced","basic.4y","no","telephone","may","mon",2,"no"
52,"technician","married","high.school","no","telephone","may","mon",2,"no"
50,"services","divorced","professional.course","no","telephone","may","mon",2,"no"
41,"blue-collar","single","basic.9y","no","telephone","may","mon",4,"no"
33,"entrepreneur","married","university.degree","no","telephone","may","mon",3,"yes"
57,"blue-collar","married","basic.4y","no","telephone","may","mon",2,"no"
48,"blue-collar","married","basic.6y","no","telephone","may","mon",3,"yes"
55,"technician","married","professional.course","no","telephone","may","mon",2,"no"
38,"management","married","university.degree","no","telephone","may","mon",2,"yes"
38,"services","married","high.school","no","telephone","may","mon",3,"yes"
53,"admin.","married","university.degree","no","telephone","may","mon",2,"no"
43,"unemployed","single","university.degree","no","telephone","may","mon",4,"no"
36,"blue-collar","single","high.school","no","telephone","may","mon",2,"no"
32,"blue-collar","married","basic.9y","no","telephone","may","mon",2,"yes"
33,"services","married","basic.4y","no","telephone","may","mon",3,"yes"
58,"entrepreneur","married","basic.4y","no","telephone","may","mon",2,"no"
40,"unemployed","divorced","high.school","no","telephone","may","tue",3,"no"
57,"management","married","university.degree","no","telephone","may","tue",2,"no"
45,"technician","married","high.school","no","telephone","may","tue",3,"yes"
42,"blue-collar","married","basic.4y","no","telephone","may","tue",3,"yes"
46,"admin.","married","university.degree","no","telephone","may","tue",1,"yes"
36,"technician","married","university.degree","no","telephone","may","tue",1,"yes"
41,"self-employed","married","high.school","no","telephone","may","tue",1,"yes"
57,"admin.","divorced","basic.9y","no","telephone","may","tue",1,"no"
49,"blue-collar","married","basic.9y","no","telephone","may","tue",1,"yes"
56,"management","divorced","high.school","no","telephone","may","tue",1,"no"
37,"blue-collar","married","basic.9y","no","telephone","may","tue",1,"yes"
37,"blue-collar","married","basic.9y","yes","telephone","may","tue",1,"yes"
46,"admin.","single","high.school","no","telephone","may","tue",1,"no"
22,"blue-collar","single","basic.9y","no","telephone","may","tue",1,"no"
43,"services","married","high.school","no","telephone","may","tue",1,"yes"
49,"blue-collar","married","unknown","no","telephone","may","tue",1,"yes"
41,"technician","married","basic.6y","no","telephone","may","tue",1,"yes"
38,"admin.","single","university.degree","no","telephone","may","tue",1,"no"
33,"admin.","married","basic.9y","no","telephone","may","tue",1,"yes"
49,"admin.","married","university.degree","yes","telephone","may","tue",1,"yes"
30,"blue-collar","single","unknown","no","telephone","may","tue",2,"no"
33,"admin.","married","basic.9y","no","telephone","may","tue",1,"yes"
34,"management","single","university.degree","no","telephone","may","tue",1,"no"
30,"student","single","unknown","no","telephone","may","tue",1,"no"
59,"management","married","basic.4y","yes","telephone","may","tue",1,"no"
59,"management","married","basic.4y","unknown","telephone","may","tue",1,"no"
41,"self-employed","married","university.degree","no","telephone","may","tue",1,"yes"
48,"housemaid","married","basic.6y","yes","telephone","may","tue",4,"yes"
28,"unknown","single","unknown","yes","telephone","may","tue",1,"yes"
44,"services","married","high.school","no","telephone","may","tue",1,"yes"
59,"retired","unknown","university.degree","no","telephone","may","tue",1,"no"
50,"management","married","high.school","no","telephone","may","tue",1,"no"
35,"admin.","married","university.degree","no","telephone","may","tue",1,"yes"
42,"admin.","married","high.school","no","telephone","may","tue",1,"yes"
45,"admin.","married","basic.9y","no","telephone","may","tue",1,"yes"
36,"technician","married","professional.course","no","telephone","may","tue",2,"yes"
56,"services","married","high.school","no","telephone","may","tue",3,"no"
29,"blue-collar","divorced","basic.4y","no","telephone","may","tue",1,"no"
41,"self-employed","married","university.degree","yes","telephone","may","tue",2,"yes"
42,"blue-collar","married","basic.9y","no","telephone","may","tue",1,"yes"
52,"services","single","high.school","no","telephone","may","tue",1,"no"
48,"services","married","high.school","unknown","telephone","may","tue",1,"yes"
31,"blue-collar","married","high.school","no","telephone","may","tue",1,"yes"
43,"unemployed","married","university.degree","no","telephone","may","tue",1,"yes"
36,"blue-collar","married","basic.4y","no","telephone","may","tue",1,"yes"
42,"entrepreneur","married","university.degree","no","telephone","may","tue",1,"yes"
52,"services","divorced","basic.6y","no","telephone","may","tue",1,"no"
39,"admin.","married","high.school","no","telephone","may","tue",2,"yes"
36,"services","married","high.school","yes","telephone","may","tue",2,"yes"
42,"blue-collar","married","basic.9y","no","telephone","may","tue",1,"yes"
41,"admin.","married","high.school","no","telephone","may","tue",1,"yes"
55,"technician","married","basic.4y","yes","telephone","may","tue",1,"no"
30,"blue-collar","married","basic.9y","no","telephone","may","tue",1,"yes"
57,"retired","unknown","basic.4y","no","telephone","may","tue",1,"no"
45,"entrepreneur","married","basic.4y","no","telephone","may","tue",1,"yes"
51,"blue-collar","married","basic.4y","yes","telephone","may","tue",2,"no"
39,"self-employed","single","basic.9y","yes","telephone","may","tue",1,"no"
47,"admin.","married","high.school","no","telephone","may","tue",1,"yes"
27,"services","married","high.school","no","telephone","may","tue",1,"yes"
34,"technician","single","university.degree","no","telephone","may","tue",1,"no"
57,"blue-collar","married","basic.4y","no","telephone","may","tue",1,"no"
43,"entrepreneur","married","basic.4y","no","telephone","may","tue",1,"yes"
49,"blue-collar","married","basic.4y","no","telephone","may","tue",1,"yes"
39,"management","married","university.degree","no","telephone","may","tue",3,"yes"
38,"blue-collar","married","basic.4y","no","telephone","may","tue",1,"yes"
49,"blue-collar","married","basic.9y","no","telephone","may","tue",2,"yes"
58,"management","married","basic.6y","no","telephone","may","tue",1,"no"
43,"technician","married","professional.course","no","telephone","may","tue",1,"yes"
50,"unknown","married","unknown","no","telephone","may","tue",3,"no"
31,"services","married","high.school","no","telephone","may","tue",1,"yes"
43,"self-employed","divorced","university.degree","no","telephone","may","tue",1,"no"
43,"self-employed","married","basic.9y","no","telephone","may","tue",1,"yes"
30,"self-employed","single","university.degree","no","telephone","may","tue",1,"no"
27,"services","single","professional.course","yes","telephone","may","tue",1,"no"
51,"services","married","unknown","no","telephone","may","tue",1,"no"
